タイトル名,アプリID,対象ページのURL,Overall Reviews,Reviewの数,金額と単位（日本円）
Delta Force,2507950,https://store.steampowered.com/app/2507950/Delta_Force?snr=1_614_615_nextfestmostplayedoct2024_100703,Mixed,"33,341 User Reviews",Free To Play
SUPERVIVE,1283700,https://store.steampowered.com/app/1283700/SUPERVIVE?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"11,682 User Reviews",Free To Play
POPUCOM,2543180,https://store.steampowered.com/app/2543180/POPUCOM?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Gladio Mori,2689120,https://store.steampowered.com/app/2689120/Gladio_Mori?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,165 User Reviews,"¥1,800"
Strinova,1282270,https://store.steampowered.com/app/1282270/Strinova?snr=1_614_615_nextfestmostplayedoct2024_100703,Mostly Positive,"17,391 User Reviews",Free To Play
The Precinct,2893830?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/2893830?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Rivals of Aether II,2217000,https://store.steampowered.com/app/2217000/Rivals_of_Aether_II?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"3,744 User Reviews","¥3,400"
Sand,1431300,https://store.steampowered.com/app/1431300/Sand?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Windblown,1911610,https://store.steampowered.com/app/1911610/Windblown?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"5,503 User Reviews","-20%
¥3,000
¥2,400"
Fast Food Simulator,2916430,https://store.steampowered.com/app/2916430/Fast_Food_Simulator?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,720 User Reviews,"NEW
-10%
¥1,700
¥1,530"
Streets of Rogue 2,2165810,https://store.steampowered.com/app/2165810/Streets_of_Rogue_2?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
AI LIMIT,2407270,https://store.steampowered.com/app/2407270/AI_LIMIT?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Cozy Island,3270360?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3270360?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Permafrost,3197110?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3197110?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Tinkerlands,3185760?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3185760?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Sultan's Game,3169680?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3169680?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Luma Island,2408820,https://store.steampowered.com/app/2408820/Luma_Island?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"6,231 User Reviews","¥2,200"
Temtem: Swarm,2510960,https://store.steampowered.com/app/2510960/Temtem_Swarm?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"1,051 User Reviews","¥1,200"
KLETKA,1699480,https://store.steampowered.com/app/1699480/KLETKA?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,464 User Reviews,"NEW
-15%
¥1,200
¥1,020"
Empire of the Ants,2287330,https://store.steampowered.com/app/2287330/Empire_of_the_Ants?snr=1_614_615_nextfestmostplayedoct2024_100703,Mostly Positive,539 User Reviews,"-30%
¥4,400
¥3,080"
Unrailed 2: Back on Track,2211170,https://store.steampowered.com/app/2211170/Unrailed_2_Back_on_Track?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,760 User Reviews,"-39%
¥4,640
¥2,848"
Project: Mist,2383130,https://store.steampowered.com/app/2383130/Project_Mist?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Mini Royale,1657090,https://store.steampowered.com/app/1657090/Mini_Royale?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Keep Driving,2756920,https://store.steampowered.com/app/2756920/Keep_Driving?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Matchmaking Inc.,2103130,https://store.steampowered.com/app/2103130/Matchmaking_Inc?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Jotunnslayer: Hordes of Hel,3047240?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3047240?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Trainee Death Simulator,3199290?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3199290?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"1,137 User Reviews",¥800
Zort,3121110,https://store.steampowered.com/app/3121110/Zort?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,899 User Reviews,¥500
Ballionaire,2667120,https://store.steampowered.com/app/2667120/Ballionaire?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,419 User Reviews,"NEW
-19%
¥1,234
¥999"
Wild Assault,2827230,https://store.steampowered.com/app/2827230/Wild_Assault?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Lost Lullabies: The Orphanage Chronicles,2903710,https://store.steampowered.com/app/2903710/Lost_Lullabies_The_Orphanage_Chronicles?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Mandragora,1721060,https://store.steampowered.com/app/1721060/Mandragora?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,"Prepurchase
¥4,900"
TRIBE NINE,2376580,https://store.steampowered.com/app/2376580/TRIBE_NINE?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Teenage Mutant Ninja Turtles: Splintered Fate,2996040,https://store.steampowered.com/app/2996040/Teenage_Mutant_Ninja_Turtles_Splintered_Fate?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,834 User Reviews,"¥3,300"
Love is All Around: Echoes of Yesterday,3099660,https://store.steampowered.com/app/3099660/Love_is_All_Around_Echoes_of_Yesterday?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"1,204 User Reviews","¥1,300"
Commandos: Origins,3137720?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3137720?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Worshippers of Cthulhu,2807150,https://store.steampowered.com/app/2807150/Worshippers_of_Cthulhu?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,581 User Reviews,"¥2,800"
VOIN,2464530,https://store.steampowered.com/app/2464530/VOIN?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,157 User Reviews,"NEW
-10%
¥2,000
¥1,800"
Rift of the NecroDancer,3029150?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3029150?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Overthrown,1133500,https://store.steampowered.com/app/1133500/Overthrown?snr=1_614_615_nextfestmostplayedoct2024_100703,Mixed,100 User Reviews,"-10%
¥3,050
¥2,745"
Wild Woods,1975580,https://store.steampowered.com/app/1975580/Wild_Woods?snr=1_614_615_nextfestmostplayedoct2024_100703,Mostly Positive,141 User Reviews,"NEW
-10%
¥2,200
¥1,980"
本草归元录,3022140?snr=1_614_615_nextfestmostplayedoct2024_100703,https://store.steampowered.com/app/3022140?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
To Kill a God,3015820,https://store.steampowered.com/app/3015820/To_Kill_a_God?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Legacy: Steel & Sorcery,2344320,https://store.steampowered.com/app/2344320/Legacy_Steel__Sorcery?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
Incantation,2328540,https://store.steampowered.com/app/2328540/Incantation?snr=1_614_615_nextfestmostplayedoct2024_100703,Mostly Positive,709 User Reviews,"¥2,800"
Ys X: Nordics,2731870,https://store.steampowered.com/app/2731870/Ys_X_Nordics?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,590 User Reviews,"¥8,250"
SULFUR,2124120,https://store.steampowered.com/app/2124120/SULFUR?snr=1_614_615_nextfestmostplayedoct2024_100703,Very Positive,"2,527 User Reviews","-20%
¥2,900
¥2,320"
Midnight Murder Club,2698870,https://store.steampowered.com/app/2698870/Midnight_Murder_Club?snr=1_614_615_nextfestmostplayedoct2024_100703,No Reviews,0,Coming Soon
